101,CPU,Intel,Core i3-4350,,http://www.amazon.com/dp/B00J2LIF0K/?tag=aindexpc-20,153.99,,"<ul>
        <li>Compatible with Z87 and Z97 motherboards. Z87 motherboard users may need to apply a BIOS update for compatibility. Not compatible with Intel Motherboards.</li>
        <li>LGA 1150</li>
        <li>Intel Rapid Storage Technology</li>
        <li>Quick Sync Video enabling faster video conversion</li>
        <li>Intel Device Protection with Boot Guard</li>
        <li>Intel IPT with PKI</li>
        <li>Intel Turbo boost technology</li>
</ul>"
102,CPU,Intel,Core i3-4360,,http://www.amazon.com/dp/B00J2LIFDC/?tag=aindexpc-20,144.99,,"<ul>
        <li>Compatible with Z87 and Z97 motherboards. Z87 motherboard users may need to apply a BIOS update for compatibility. Not compatible with Intel Motherboards.</li>
        <li>LGA 1150</li>
        <li>Intel Rapid Storage Technology</li>
        <li>Quick Sync Video enabling faster video conversion</li>
        <li>Intel Device Protection with Boot Guard</li>
        <li>Intel IPT with PKI</li>
        <li>Intel Turbo boost technology</li>
</ul>"
103,CPU,Intel,Core i5-4460,,http://www.amazon.com/dp/B00JIJUBAS/?tag=aindexpc-20,189.99,,"<ul>
        <li>Compatible with Z87 and Z97 motherboards. Z87 motherboard users may need to apply a BIOS update for compatibility. Not compatible with Intel Motherboards.</li>
        <li>LGA 1150</li>
        <li>Intel Rapid Storage Technology</li>
        <li>Quick Sync Video enabling faster video conversion</li>
        <li>Intel Device Protection with Boot Guard</li>
        <li>Intel IPT with PKI</li>
        <li>Intel Turbo boost technology</li>
</ul>"
104,CPU,Intel,Core i5-4690K,,http://www.amazon.com/dp/B00KPRWB9G/?tag=aindexpc-20,230.99,,"<ul>
        <li>4 cores, 4 threads</li>
        <li>Intel HD Graphics 4600 (1200 MHz)</li>
        <li>Intel Turbo Boost Technology 2.0</li>
        <li>Dynamic Acceleration/Turbo Boost</li>
        <li>6MB Intel Smart Cache</li>
</ul>"
105,CPU,Intel,Core i7-4790K,,http://www.amazon.com/dp/B00KPRWAX8/?tag=aindexpc-20,330.99,,"<ul>
        <li>Intel Rapid Storage Technology</li>
        <li>Processor with Unlocked Clock Multiplier</li>
        <li>Quick Sync Video enabling faster video conversion</li>
        <li>Socket Type FCLGA1150</li>
</ul>"
106,CPU-Fan,Thermaltake,Slim X3 Low Profile ,,http://www.amazon.com/dp/B003WOL4UG/?tag=aindexpc-20,21.13,,"<ul>
        <li>Thermaltake CLP0534 Slim X3 Low Profile CPU Fan for Intel LGA775 & LGA1156</li>
</ul>"
107,CPU-Fan,Thermaltake,Water 3.0 Performer ,,http://www.amazon.com/dp/B00DZL863Y/?tag=aindexpc-20,68.95,,"<ul>
        <li>High performance full copper base plate accelerates heat transfer.</li>
        <li>High reliability low profile water pump provides quick liquid circulation and stable low temperature.</li>
        <li>Pre-filled with coolant. No hassle no refilling needed.</li>
        <li>Special connecting tube material prevents loss of coolant due to evaporation.</li>
        <li>The high-tech sealed circulation system prevents leakage.</li>
        <li>A must have for high performance or overclocked systems.</li>
</ul>"
108,CPU-Fan,Zalman,CNPS8000B Low Profile ,,http://www.amazon.com/dp/B007B5Y1EI/?tag=aindexpc-20,34.99,,"<ul>
        <li>Material: Fins - Aluminum, Base - Copper</li>
        <li>Dissipation Area: 2872 cm2</li>
        <li>Heatpipes: 4 'c' Shaped Heatpipes</li>
        <li>Speed: 1,400 ~ 2,800rpm +/- 10%</li>
        <li>Noise Level: 20 ~ 32dBA +/- 10%</li>
        <li>Fan: 3 Pin 92mm PWM Fan</li>
</ul>"
109,Motherboard,Gigabyte,GA-H97N-WiFi,,http://www.amazon.com/dp/B00KATHCD4/?tag=aindexpc-20,119.95,,"<ul>
        <li>Memory Support: 2 x DDR3 DIMM; MAX 16GB; Support for DDR3 1600/1333 MHz memory modules</li>
        <li>Onboard graphics: 1 x DVI-I port,2 x HDMI ports, Support for up to 3 displays at the same time</li>
        <li>LAN: 2 x Gbe LAN</li>
</ul>"
110,Motherboard,Gigabyte,GA-Z97-D3H,,http://www.amazon.com/dp/B00K2RQDLQ/?tag=aindexpc-20,118.79,,"<ul>
        <li>1 x D-Sub port, supporting a maximum resolution of 1920x1200at60Hz. 1 x DVI-D port, supporting a maximum resolution of 1920x1200at60Hz. 1 x HDMI port, supporting a maximum resolution of 4096x2160at24Hz or 2560x1600at60Hz. Support for HDMI 1.4a version.</li>
        <li>1 x PCI Express x16 slot, running at x16 (PCIEX16);1 x PCI Express x16 slot, running at x4 (PCIEX4); 2 x PCI Express x1 slots; 3 x PCI slots</li>
        <li>GIGABYTE UEFI DualBIOS.</li>
</ul>"
111,Motherboard,Gigabyte,GA-Z97X-UD3H,,http://www.amazon.com/dp/B00JKCHDC2/?tag=aindexpc-20,153.05,,"<ul>
        <li>CPU Support: Support for Intel Core i7 processors/Intel Core i5 processors/ Intel Core i3 processors/Intel Pentium processors/ Intel Celeron processors in the LGA1150 package</li>
        <li>Memory Support: 4 x DDR3 DIMM sockets supporting up to 32 GB; DDR3 3100(O.C.) / 3000(O.C.) / 2933(O.C.) / 2800(O.C.) / 2666(O.C.) / 2600(O.C.) / 2500(O.C.) / 2400(O.C.) / 2200(O.C.) / 2133(O.C.) / 2000(O.C.) / 1866(O.C.) / 1800(O.C.) / 1600 / 1333</li>
        <li>GIGABYTE UEFI DualBIOS.</li>
</ul>"
112,Motherboard,Gigabyte,GA-Z97X-UD5H,,http://www.amazon.com/dp/B00JKCHDKY/?tag=aindexpc-20,190.55,,"<ul>
        <li>CPU Support: Support for Intel Core i7 processors/Intel Core i5 processors/Intel Core i3 processors/Intel Pentium processors/Intel Celeron processors in the LGA1150 package</li>
        <li>Memory Support: 4 x DDR3 DIMM sockets supporting up to 32 GB;3200(O.C.) / 3100(O.C.) / 3000(O.C.) / 2933(O.C.) / 2800(O.C.) / 2666(O.C.) / 2600(O.C.) / 2500(O.C.) / 2400(O.C.) / 2200(O.C.) / 2133(O.C.) / 2000(O.C.) / 1866(O.C.) / 1800(O.C.)</li>
        <li>Onboard Graphics: 1 x D-Sub port, supporting a maximum resolution of 1920x1200at60Hz; 1 x DVI-D port, supporting a maximum resolution of 1920x1200at60Hz;1 x HDMI port, supporting a maximum resolution of 4096x2160at24Hz or 2560x1600at60Hz</li>
        <li>Support for up to 3 displays at the same time</li>
        <li>Expansion Slots: 1 x PCI Express x16 slot, running at x16 (PCIEX16); 1 x PCI Express x16 slot, running at x8 (PCIEX8); 1 x PCI Express x16 slot, running at x4 (PCIEX4);2 x PCI Express x1 slots;2 x PCI slots; Support for 3-Way/2-Way CrossFire and 2-Way SLI</li>
        <li>Storage Interface: 1 x M.2 PCIe connector; 1 x SATA Express connector; 6 x SATA 6Gb/s connectors Support for RAID 0, RAID 1, RAID 5, and RAID 10; additional 2 x SATA 6Gb/s connectors Support for RAID 0 and RAID 1</li>
        <li>USB: 8 USB 3.0/2.0 ports (6 on back panel 2 through internal USB header); 6 USB 2.0/1.1 ports (2 on back panel 4 through internal USB header)</li>
</ul>"
113,Motherboard,Gigabyte,GA-Z97X-UD7-TH,,http://www.amazon.com/dp/B00JKCHENK/?tag=aindexpc-20,199.49,,"<ul>
        <li>Dual Thunderbolt2 ports</li>
        <li>Support for 3-Way/2-Way AMD CrossFire and 2-Way NVIDIA SLI Technology</li>
        <li>GIGABYTE UEFI DualBIOS.</li>
</ul>"
114,Motherboard,Gigabyte,GA-Z97M-D3H,,http://www.amazon.com/dp/B00K8HNFIO/?tag=aindexpc-20,109.00,,"<ul>
        <li>GIGABYTE product page: http://www.gigabyte.com/products/product-page.aspx?pid=4970#ov</li>
        <li>CPU Support: support for Intel Core i7 processors/Intel Core i5 processors/ Intel Core i3 processors/Intel Pentium processors/ Intel Celeron processors in the LGA1150 package</li>
        <li>Memory Support: 4 x DDR3 DIMM sockets supporting up to 32 GB; Support for DDR3 3000(O.C.) / 2933(O.C.) / 2800(O.C.) / 2666(O.C.) / 2600(O.C.) / 2500(O.C.) / 2400(O.C.) / 2200(O.C.) / 2133(O.C.) / 2000(O.C.) / 1866(O.C.) / 1800(O.C.) / 1600 / 1333 MHz</li>
</ul>"
